x,y,z1,z2,z3,z4
0.6,0.55,-128.9409,-1.0793671,-0.6628348,1.7422019
0.6,0.6,-128.9968,-1.1721722,-0.5279876,1.7001598
0.6,0.65,-129.0417,-1.2383659,-0.4255032,1.6638692
0.6,0.7,-129.078,-1.2865231,-0.3460706,1.6325938
0.6,0.75,-129.1076,-1.3221953,-0.2834443,1.6056397
0.6,0.8,-129.1319,-1.3490331,-0.2333604,1.5823935
0.6,0.85,-129.152,-1.3694865,-0.1928457,1.5623323
0.6,0.9,-129.1686,-1.3852416,-0.1597687,1.5450104
0.6,0.95,-129.1824,-1.3974914,-0.132552,1.5300434
0.6,1.0,-129.1938,-1.4070896,-0.1100073,1.5170969
0.6,1.05,-129.2033,-1.4146568,-0.0912239,1.5058808
0.6,1.1,-129.2111,-1.4206422,-0.075502,1.4961443
0.6,1.15,-129.2176,-1.4253784,-0.0622942,1.4876727
0.6,1.2,-129.223,-1.4291105,-0.0511727,1.4802833
0.6,1.25,-129.2273,-1.4320263,-0.0417951,1.4738214
0.6,1.3,-129.2309,-1.4342725,-0.0338844,1.4681569
0.6,1.35,-129.2338,-1.4359644,-0.0272156,1.46318
0.6,1.4,-129.2361,-1.4371996,-0.0215991,1.4587987
0.6,1.45,-129.2379,-1.4380579,-0.0168773,1.4549353
0.6,1.5,-129.2393,-1.4386057,-0.0129184,1.4515242
0.6,1.55,-129.2404,-1.4389015,-0.0096086,1.4485101
0.6,1.6,-129.2411,-1.4389936,-0.0068525,1.4458462
0.6,1.65,-129.2417,-1.4389214,-0.004571,1.4434924
0.6,1.7,-129.242,-1.4387194,-0.0026953,1.4414148
0.6,1.75,-129.2422,-1.4384167,-0.0011669,1.4395836
0.6,1.8,-129.2422,-1.4380358,6.28e-05,1.4379729
0.6,1.85,-129.2422,-1.4375956,0.001036,1.4365596
0.6,1.9,-129.242,-1.4371126,0.0017901,1.4353225
0.6,1.95,-129.2418,-1.4366005,0.0023585,1.434242
0.6,2.0,-129.2416,-1.4360703,0.0027703,1.4332999
0.6,2.05,-129.2413,-1.4355306,0.0030515,1.4324791
0.6,2.1,-129.241,-1.4349893,0.0032253,1.431764
0.6,2.15,-129.2407,-1.4344531,0.0033132,1.4311398
0.6,2.2,-129.2404,-1.4339276,0.0033341,1.4305935
0.6,2.25,-129.2401,-1.433417,0.0033034,1.4301136
0.6,2.3,-129.2398,-1.4329241,0.0032338,1.4296902
0.6,2.35,-129.2395,-1.432451,0.0031359,1.429315
0.6,2.4,-129.2392,-1.432,0.003019,1.4289809
0.6,2.45,-129.2389,-1.4315729,0.0028907,1.4286821
0.6,2.5,-129.2386,-1.4311702,0.0027563,1.4284139
0.6,2.55,-129.2384,-1.4307913,0.0026188,1.4281724
0.6,2.6,-129.2382,-1.4304344,0.0024797,1.4279546
0.6,2.65,-129.2379,-1.4300982,0.0023402,1.4277579
0.6,2.7,-129.2377,-1.4297819,0.0022018,1.42758
0.6,2.75,-129.2375,-1.4294852,0.0020662,1.427419
0.6,2.8,-129.2373,-1.4292081,0.0019347,1.4272733
0.6,2.85,-129.2371,-1.4289498,0.0018081,1.4271417
0.6,2.9,-129.237,-1.4287096,0.0016868,1.4270228
0.6,2.95,-129.2368,-1.4284865,0.0015708,1.4269156
0.6,3.0,-129.2367,-1.4282792,0.00146,1.4268191
0.6,3.05,-129.2365,-1.4280867,0.0013545,1.4267321
0.6,3.1,-129.2364,-1.4279082,0.0012541,1.426654
0.6,3.15,-129.2363,-1.4277429,0.0011589,1.426584
0.6,3.2,-129.2362,-1.4275901,0.0010688,1.4265213
0.6,3.25,-129.2361,-1.427449,0.0009836,1.4264654
0.6,3.3,-129.236,-1.4273189,0.0009034,1.4264154
0.6,3.35,-129.2359,-1.4271992,0.0008282,1.426371
0.6,3.4,-129.2359,-1.4270894,0.0007579,1.4263314
0.6,3.45,-129.2358,-1.4269887,0.0006925,1.4262962
0.6,3.5,-129.2357,-1.4268969,0.0006319,1.4262649
0.6,3.55,-129.2357,-1.4268133,0.0005759,1.4262373
0.6,3.6,-129.2356,-1.4267372,0.0005242,1.426213
0.6,3.65,-129.2356,-1.4266679,0.0004763,1.4261915
0.6,3.7,-129.2355,-1.4266047,0.000432,1.4261726
0.6,3.75,-129.2355,-1.4265472,0.0003912,1.4261559
0.6,3.8,-129.2355,-1.4264952,0.0003539,1.4261412
0.6,3.85,-129.2354,-1.4264483,0.0003199,1.4261283
0.6,3.9,-129.2354,-1.4264062,0.0002892,1.426117
0.6,3.95,-129.2354,-1.4263685,0.0002615,1.426107
0.6,4.0,-129.2353,-1.4263348,0.0002364,1.4260984
0.65,0.5,-129.0148,-0.5066162,-0.7943841,1.3010004
0.65,0.55,-129.0811,-0.6371141,-0.6195349,1.256649
0.65,0.6,-129.1333,-0.7276548,-0.4905299,1.2181847
0.65,0.65,-129.1748,-0.7917211,-0.3931556,1.1848767
0.65,0.7,-129.2083,-0.8379012,-0.318138,1.1560393
0.65,0.75,-129.2354,-0.8717468,-0.2593009,1.1310478
0.65,0.8,-129.2576,-0.8968899,-0.2124691,1.1093591
0.65,0.85,-129.2759,-0.915761,-0.174752,1.090513
0.65,0.9,-129.2909,-0.930035,-0.1440838,1.0741188
0.65,0.95,-129.3033,-0.9409006,-0.1189394,1.05984
0.65,1.0,-129.3135,-0.9492097,-0.0981747,1.0473845
0.65,1.05,-129.3219,-0.9555805,-0.0809187,1.0364992
0.65,1.1,-129.3289,-0.9604591,-0.066507,1.0269661
0.65,1.15,-129.3346,-0.9641742,-0.0544242,1.0185984
0.65,1.2,-129.3392,-0.9669669,-0.0442705,1.0112375
0.65,1.25,-129.343,-0.9690205,-0.0357279,1.0047485
0.65,1.3,-129.346,-0.9704772,-0.02854,0.9990172
0.65,1.35,-129.3484,-0.9714475,-0.022499,0.9939465
0.65,1.4,-129.3503,-0.9720237,-0.0174297,0.9894535
0.65,1.45,-129.3517,-0.9722804,-0.0131868,0.9854672
0.65,1.5,-129.3528,-0.972278,-0.0096485,0.9819266
0.65,1.55,-129.3536,-0.9720696,-0.0067096,0.9787793
0.65,1.6,-129.3541,-0.9716982,-0.0042822,0.9759804
0.65,1.65,-129.3544,-0.9711982,-0.002293,0.9734913
0.65,1.7,-129.3545,-0.9706004,-0.0006786,0.971279
0.65,1.75,-129.3545,-0.9699305,0.0006156,0.9693148
0.65,1.8,-129.3544,-0.969209,0.0016354,0.9675735
0.65,1.85,-129.3542,-0.9684528,0.0024203,0.9660325
0.65,1.9,-129.354,-0.9676774,0.0030062,0.9646712
0.65,1.95,-129.3537,-0.9668956,0.0034252,0.9634704
0.65,2.0,-129.3533,-0.9661172,0.0037052,0.962412
0.65,2.05,-129.353,-0.96535,0.0038708,0.9614792
0.65,2.1,-129.3526,-0.9646007,0.0039442,0.9606564
0.65,2.15,-129.3522,-0.9638748,0.0039457,0.9599291
0.65,2.2,-129.3519,-0.9631767,0.0038923,0.9592843
0.65,2.25,-129.3515,-0.9625088,0.003798,0.9587108
0.65,2.3,-129.3512,-0.9618726,0.0036738,0.9581987
0.65,2.35,-129.3508,-0.9612689,0.003529,0.9577398
0.65,2.4,-129.3505,-0.9606988,0.0033717,0.9573271
0.65,2.45,-129.3502,-0.9601628,0.0032082,0.9569545
0.65,2.5,-129.3499,-0.9596604,0.0030429,0.9566174
0.65,2.55,-129.3496,-0.9591899,0.002878,0.9563119
0.65,2.6,-129.3493,-0.958749,0.0027143,0.9560347
0.65,2.65,-129.3491,-0.9583358,0.0025529,0.9557828
0.65,2.7,-129.3489,-0.9579487,0.0023948,0.9555539
0.65,2.75,-129.3486,-0.9575871,0.0022412,0.9553459
0.65,2.8,-129.3484,-0.9572501,0.0020933,0.9551568
0.65,2.85,-129.3482,-0.9569369,0.0019517,0.9549852
0.65,2.9,-129.3481,-0.9566462,0.0018166,0.9548296
0.65,2.95,-129.3479,-0.9563768,0.001688,0.9546887
0.65,3.0,-129.3477,-0.9561271,0.0015659,0.9545612
0.65,3.05,-129.3476,-0.9558959,0.0014499,0.954446
0.65,3.1,-129.3475,-0.9556819,0.00134,0.9543419
0.65,3.15,-129.3473,-0.9554842,0.001236,0.9542481
0.65,3.2,-129.3472,-0.9553017,0.0011379,0.9541638
0.65,3.25,-129.3471,-0.9551335,0.0010454,0.9540881
0.65,3.3,-129.347,-0.9549789,0.0009587,0.9540201
0.65,3.35,-129.347,-0.954837,0.0008776,0.9539593
0.65,3.4,-129.3469,-0.9547069,0.000802,0.9539049
0.65,3.45,-129.3468,-0.954588,0.0007318,0.9538562
0.65,3.5,-129.3467,-0.9544796,0.0006668,0.9538127
0.65,3.55,-129.3467,-0.9543809,0.0006068,0.9537741
0.65,3.6,-129.3466,-0.9542913,0.0005515,0.9537397
0.65,3.65,-129.3466,-0.9542098,0.0005005,0.9537093
0.65,3.7,-129.3465,-0.9541357,0.0004534,0.9536822
0.65,3.75,-129.3465,-0.9540685,0.0004102,0.9536582
0.65,3.8,-129.3464,-0.9540077,0.0003706,0.953637
0.65,3.85,-129.3464,-0.9539529,0.0003347,0.9536182
0.65,3.9,-129.3464,-0.9539038,0.0003021,0.9536016
0.65,3.95,-129.3464,-0.9538599,0.0002728,0.953587
0.65,4.0,-129.3463,-0.9538206,0.0002464,0.9535741
0.7,0.5,-129.1206,-0.2097684,-0.7495196,0.9592881
0.7,0.55,-129.183,-0.3394646,-0.5805091,0.9199737
0.7,0.6,-129.2317,-0.4290734,-0.456626,0.8856994
0.7,0.65,-129.2703,-0.4921164,-0.3637062,0.8558227
0.7,0.7,-129.3011,-0.5372198,-0.2925298,0.8297496
0.7,0.75,-129.326,-0.5699557,-0.2369949,0.8069506
0.7,0.8,-129.3463,-0.5939664,-0.1930096,0.786976
0.7,0.85,-129.3628,-0.6116958,-0.1577552,0.7694511
0.7,0.9,-129.3763,-0.6248372,-0.1292205,0.7540578
0.7,0.95,-129.3874,-0.6345968,-0.1059236,0.7405205
0.7,1.0,-129.3964,-0.6418403,-0.0867573,0.7285976
0.7,1.05,-129.4039,-0.6471948,-0.0708837,0.7180786
0.7,1.1,-129.4099,-0.651112,-0.0576688,0.7087809
0.7,1.15,-129.4148,-0.6539236,-0.0466243,0.7005479
0.7,1.2,-129.4188,-0.6558715,-0.0373738,0.6932453
0.7,1.25,-129.4219,-0.6571389,-0.0296193,0.6867582
0.7,1.3,-129.4244,-0.6578667,-0.0231213,0.6809881
0.7,1.35,-129.4263,-0.6581638,-0.0176858,0.6758496
0.7,1.4,-129.4278,-0.6581195,-0.0131492,0.6712687
0.7,1.45,-129.4289,-0.6578049,-0.0093758,0.6671807
0.7,1.5,-129.4296,-0.6572765,-0.0062523,0.6635289
0.7,1.55,-129.4301,-0.6565829,-0.0036809,0.6602639
0.7,1.6,-129.4303,-0.6557625,-0.0015801,0.6573427
0.7,1.65,-129.4304,-0.6548456,0.0001173,0.6547283
0.7,1.7,-129.4303,-0.653859,0.0014703,0.6523887
0.7,1.75,-129.4301,-0.6528259,0.0025296,0.6502962
0.7,1.8,-129.4298,-0.6517642,0.0033379,0.6484262
0.7,1.85,-129.4295,-0.6506895,0.0039323,0.6467571
0.7,1.9,-129.4291,-0.6496162,0.0043474,0.6452687
0.7,1.95,-129.4287,-0.6485564,0.004614,0.6439423
0.7,2.0,-129.4282,-0.6475194,0.0047588,0.6427605
0.7,2.05,-129.4278,-0.6465123,0.0048052,0.641707
0.7,2.1,-129.4273,-0.645541,0.0047744,0.6407665
0.7,2.15,-129.4269,-0.6446103,0.004685,0.6399253
0.7,2.2,-129.4264,-0.6437235,0.0045527,0.6391708
0.7,2.25,-129.426,-0.642882,0.0043899,0.638492
0.7,2.3,-129.4256,-0.6420858,0.0042061,0.6378796
0.7,2.35,-129.4252,-0.6413348,0.0040093,0.6373255
0.7,2.4,-129.4248,-0.6406291,0.0038063,0.6368227
0.7,2.45,-129.4245,-0.639968,0.0036025,0.6363654
0.7,2.5,-129.4242,-0.6393502,0.0034013,0.6359488
0.7,2.55,-129.4238,-0.6387729,0.003204,0.6355688
0.7,2.6,-129.4235,-0.6382332,0.0030112,0.6352219
0.7,2.65,-129.4233,-0.6377286,0.0028234,0.6349051
0.7,2.7,-129.423,-0.637257,0.0026413,0.6346157
0.7,2.75,-129.4228,-0.6368171,0.0024658,0.6343512
0.7,2.8,-129.4225,-0.6364077,0.0022978,0.6341098
0.7,2.85,-129.4223,-0.6360273,0.0021377,0.6338895
0.7,2.9,-129.4221,-0.6356744,0.0019856,0.6336888
0.7,2.95,-129.422,-0.6353474,0.0018414,0.633506
0.7,3.0,-129.4218,-0.6350447,0.001705,0.6333397
0.7,3.05,-129.4216,-0.6347645,0.0015759,0.6331885
0.7,3.1,-129.4215,-0.6345053,0.001454,0.6330513
0.7,3.15,-129.4214,-0.6342659,0.001339,0.6329269
0.7,3.2,-129.4212,-0.634045,0.0012307,0.6328143
0.7,3.25,-129.4211,-0.6338416,0.001129,0.6327125
0.7,3.3,-129.421,-0.6336546,0.0010338,0.6326207
0.7,3.35,-129.4209,-0.6334831,0.0009451,0.6325379
0.7,3.4,-129.4209,-0.633326,0.0008626,0.6324634
0.7,3.45,-129.4208,-0.6331824,0.000786,0.6323964
0.7,3.5,-129.4207,-0.6330515,0.0007153,0.6323362
0.7,3.55,-129.4206,-0.6329324,0.0006501,0.6322823
0.7,3.6,-129.4206,-0.6328241,0.0005901,0.632234
0.7,3.65,-129.4205,-0.6327258,0.0005348,0.632191
0.7,3.7,-129.4205,-0.6326365,0.000484,0.6321525
0.7,3.75,-129.4204,-0.6325556,0.0004373,0.6321182
0.7,3.8,-129.4204,-0.6324824,0.0003947,0.6320877
0.7,3.85,-129.4204,-0.6324166,0.000356,0.6320605
0.7,3.9,-129.4203,-0.6323575,0.0003211,0.6320364
0.7,3.95,-129.4203,-0.6323046,0.0002896,0.632015
0.7,4.0,-129.4203,-0.6322572,0.0002611,0.631996
0.75,0.5,-129.1991,-0.0053444,-0.7103975,0.715742
0.75,0.55,-129.2581,-0.135553,-0.5462754,0.6818285
0.75,0.6,-129.3037,-0.2253634,-0.4266772,0.6520406
0.75,0.65,-129.3396,-0.2883783,-0.3374783,0.6258567
0.75,0.7,-129.3682,-0.3332805,-0.2695072,0.6027877
0.75,0.75,-129.391,-0.3656664,-0.216735,0.5824015
0.75,0.8,-129.4095,-0.389193,-0.1751484,0.5643415
0.75,0.85,-129.4244,-0.4063285,-0.1419906,0.5483191
0.75,0.9,-129.4365,-0.4187991,-0.1152924,0.5340916
0.75,0.95,-129.4463,-0.4278435,-0.0936037,0.5214472
0.75,1.0,-129.4543,-0.4343537,-0.0758443,0.510198
0.75,1.05,-129.4608,-0.4389761,-0.061202,0.5001782
0.75,1.1,-129.466,-0.4421761,-0.049066,0.4912422
0.75,1.15,-129.4701,-0.4442943,-0.0389689,0.4832633
0.75,1.2,-129.4734,-0.4455786,-0.0305528,0.4761314
0.75,1.25,-129.4759,-0.4462159,-0.0235349,0.4697508
0.75,1.3,-129.4779,-0.4463491,-0.0176884,0.4640375
0.75,1.35,-129.4793,-0.4460876,-0.0128301,0.4589177
0.75,1.4,-129.4803,-0.4455204,-0.0088051,0.4543255
0.75,1.45,-129.481,-0.4447172,-0.0054855,0.4502027
0.75,1.5,-129.4814,-0.4437323,-0.0027649,0.4464972
0.75,1.55,-129.4815,-0.4426116,-0.0005518,0.4431634
0.75,1.6,-129.4815,-0.4413906,0.0012293,0.4401613
0.75,1.65,-129.4813,-0.4400965,0.0026405,0.4374559
0.75,1.7,-129.481,-0.4387537,0.0037362,0.4350174
0.75,1.75,-129.4806,-0.4373831,0.0045636,0.4328195
