x,y,z,force1_x,force2_x,force3_x
0.6,1.05,-100.647897129,-1.414243396,-0.077103263,1.491346659
0.6,1.1,-100.654572276,-1.42085854,-0.064572391,1.48543093
0.6,1.15,-100.660164776,-1.426310858,-0.054116358,1.480427216
0.6,1.2,-100.664852287,-1.430837593,-0.04536161,1.476199203
0.6,1.25,-100.66878115,-1.434612677,-0.03801452,1.472627196
0.6,1.3,-100.672072905,-1.437767091,-0.031840915,1.469608006
0.6,1.35,-100.674829139,-1.4404034,-0.026650418,1.467053818
0.6,1.4,-100.677135101,-1.442604563,-0.022286184,1.464890747
0.6,1.45,-100.679062492,-1.444439925,-0.018617196,1.463057122
0.6,1.5,-100.680671653,-1.445968278,-0.015533313,1.461501591
0.6,1.55,-100.682013343,-1.447240078,-0.012941443,1.460181521
0.6,1.6,-100.68313025,-1.448297947,-0.010763323,1.45906127
0.6,1.65,-100.684058246,-1.449178176,-0.008932642,1.458110818
0.6,1.7,-100.684827477,-1.449910531,-0.007394392,1.457304923
0.6,1.75,-100.685463318,-1.450519893,-0.00610199,1.456621883
0.6,1.8,-100.685987106,-1.451026514,-0.005016804,1.456043318
0.6,1.85,-100.686416871,-1.451446765,-0.004106818,1.455553582
0.6,1.9,-100.68676782,-1.451794934,-0.003344325,1.455139259
0.6,1.95,-100.687052803,-1.452081868,-0.002707212,1.45478908
0.6,2.0,-100.687282762,-1.452316881,-0.002176575,1.454493457
0.6,2.05,-100.687466925,-1.452508971,-0.001735299,1.454244271
0.6,2.1,-100.687613088,-1.452664305,-0.001370345,1.454034649
0.6,2.15,-100.687727937,-1.452788045,-0.001070597,1.453858642
0.6,2.2,-100.687817104,-1.452886147,-0.000825011,1.453711157
0.6,2.25,-100.687885273,-1.452962875,-0.00062496,1.453587834
0.6,2.3,-100.68793644,-1.453020658,-0.000464125,1.453484783
0.6,2.35,-100.687974004,-1.453062802,-0.000335804,1.453398606
0.6,2.4,-100.688000709,-1.453093101,-0.000233345,1.453326446
0.6,2.45,-100.688018779,-1.453113359,-0.000152477,1.453265836
0.6,2.5,-100.688030103,-1.453124607,-9.0002e-05,1.453214609
0.6,2.55,-100.688036245,-1.453128902,-4.2053e-05,1.453170955
0.6,2.6,-100.688038381,-1.453128755,-4.692e-06,1.453133447
0.6,2.65,-100.6880374,-1.453125056,2.4107e-05,1.453100949
0.6,2.7,-100.688034064,-1.453117843,4.5336e-05,1.453072508
0.6,2.75,-100.688029028,-1.453107778,6.0418e-05,1.45304736
0.6,2.8,-100.688022777,-1.453096291,7.1359e-05,1.453024931
0.6,2.85,-100.688015631,-1.45308431,7.9454e-05,1.453004856
0.6,2.9,-100.688007849,-1.453071593,8.4801e-05,1.452986793
0.6,2.95,-100.687999688,-1.453057958,8.7537e-05,1.452970422
0.6,3.0,-100.687991369,-1.453043886,8.8331e-05,1.452955555
0.6,3.05,-100.687983029,-1.453030124,8.807e-05,1.452942054
0.6,3.1,-100.687974745,-1.453017031,8.715e-05,1.45292988
0.6,3.15,-100.687966588,-1.453004303,8.5348e-05,1.452918955
0.6,3.2,-100.68795865,-1.452991712,8.2528e-05,1.452909184
0.6,3.25,-100.687951018,-1.452979405,7.8931e-05,1.452900473
0.6,3.3,-100.687943741,-1.452967802,7.5062e-05,1.45289274
0.6,3.35,-100.687936837,-1.452957052,7.1087e-05,1.452885965
0.6,3.4,-100.687930308,-1.452947165,6.7075e-05,1.45288009
0.6,3.45,-100.68792417,-1.452937853,6.2828e-05,1.452875026
0.6,3.5,-100.687918443,-1.452929037,5.834e-05,1.452870697
0.6,3.55,-100.68791315,-1.452920724,5.3706e-05,1.452867019
0.6,3.6,-100.687908284,-1.452913259,4.9358e-05,1.452863901
0.6,3.65,-100.687903812,-1.4529067,4.5392e-05,1.452861308
0.6,3.7,-100.687899696,-1.452900931,4.1737e-05,1.452859194
0.6,3.75,-100.687895923,-1.452895642,3.8152e-05,1.45285749
0.6,3.8,-100.68789248,-1.452890903,3.4753e-05,1.45285615
